Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Quality_Category,Taste_Categories,Quality_Label_High Quality,Quality_Label_Low Quality,Quality_Label_Medium Quality,Category_Aromatic,Category_Complex,Category_Full-bodied,Category_Lingering,Category_Smooth,Category_Sour,Category_Sweet
Arabica,Guatemala,2016,green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Uganda,2013,green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Colombia,2013,blue-green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Panama,2017,blue-green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2014,green,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Guatemala,2012,green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Guatemala,2012,blue-green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2017,unknown,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Peru,2013,green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Papua New Guinea,2012,blue-green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,El Salvador,2013,blue-green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,El Salvador,2012,unknown,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,United States (Hawaii),2012,unknown,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Panama,2014,unknown,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Kenya,2014,green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2015,green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Uganda,2013,green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Guatemala,2013,green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2015,green,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Uganda,2013,green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,1,"['Sweet', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,0,1
Arabica,United States (Hawaii),2012,unknown,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Brazil,2011,blue-green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,1,"['Sweet', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,0,1
Arabica,El Salvador,2009-2010,unknown,Unknown,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,China,2015,green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Guatemala,2014,green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,1,"['Sweet', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,0,1
Arabica,Costa Rica,2014,blue-green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,1,"['Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,0
Arabica,Costa Rica,2014,blue-green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,1,"['Sweet', 'Full-bodied', 'Aromatic']",True,False,False,1,0,1,0,0,0,1
Arabica,Kenya,2012,green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Kenya,2012,green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2009-2010,unknown,Unknown,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2009-2010,unknown,Unknown,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Guatemala,2016,green,Unknown,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Colombia,2015,green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Colombia,2014,green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Complex']",True,False,False,0,1,1,1,0,1,1
Arabica,Indonesia,2012,green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Guatemala,2012,unknown,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2016,green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Aromatic']",True,False,False,1,0,1,0,0,1,1
Arabica,Colombia,2015,unknown,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Aromatic']",True,False,False,1,0,1,0,0,1,1
Arabica,Ethiopia,2014,green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Aromatic']",True,False,False,1,0,1,0,0,1,1
Arabica,United States (Hawaii),2014,blue-green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Complex']",True,False,False,0,1,1,1,0,1,1
Arabica,Colombia,2012,green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,United States (Hawaii),2010-2011,unknown,Unknown,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Ethiopia,2010,unknown,Unknown,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Complex']",True,False,False,0,1,1,1,0,1,1
Arabica,United States (Hawaii),Unknown,unknown,Unknown,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Complex']",True,False,False,0,1,1,1,0,1,1
Arabica,Uganda,2016,green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Colombia,2016,green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
Arabica,Costa Rica,2016,green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,1,"['Sweet', 'Sour', 'Full-bodied', 'Aromatic']",True,False,False,1,0,1,0,0,1,1
Arabica,Mexico,2015,green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Kenya,2015,green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,1,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,0,1,0,1,1
Arabica,Kenya,2012,green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,1,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex']",True,False,False,1,1,1,1,0,1,1
