Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Color_standardized,Quality_Category,Quality_Label,Taste_Categories,Category_Aromatic,Category_Complex,Category_Full-bodied,Category_High Quality,Category_Lingering,Category_Low Quality,Category_Medium Quality,Category_Smooth,Category_Sour,Category_Sweet
Arabica,Colombia,2016,blue-green,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,1,1
Arabica,Taiwan,2016-2017,blue-green,Unknown,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,10.0,83.5,blue-green,2,Medium Quality,"['Sweet', 'Smooth', 'Medium Quality']",0,0,0,0,0,0,1,1,0,1
Arabica,Costa Rica,2015,blue-green,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,blue-green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2016,green,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,0,1
Arabica,Guatemala,2016,blue-green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Colombia,2015,green,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Tanzania,2015,green,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Indonesia,2015,blue-green,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,1,1
Arabica,Ethiopia,2014,unknown,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.5,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Colombia,2014,unknown,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,83.5,unknown,2,Medium Quality,"['Sweet', 'Sour', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,1,1
Arabica,Colombia,2014,green,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,0,1
Arabica,Guatemala,2013,green,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Colombia,2014,unknown,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,83.5,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,0,1
Arabica,Honduras,2014-2015,green,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,83.5,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2013,green,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Colombia,2013,green,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Mexico,2012,green,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Mexico,2012,green,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Sour', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,1,1
Arabica,Mexico,2012,green,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,green,2,Medium Quality,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,0,1,1
Arabica,Colombia,2012,green,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Guatemala,2012,green,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,United States (Hawaii),Unknown,unknown,Unknown,7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,7.58,83.5,unknown,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Indonesia,2010,unknown,Unknown,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,83.5,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,0,1
Arabica,Colombia,2017-2018,green,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Guatemala,2017,green,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2016,green,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Costa Rica,2016,blue-green,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Taiwan,2015,blue-green,Unknown,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,10.0,83.42,blue-green,2,Medium Quality,"['Sweet', 'Smooth', 'Medium Quality']",0,0,0,0,0,0,1,1,0,1
Arabica,Uganda,2015,green,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Thailand,2015,blue-green,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,blue-green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,El Salvador,2016,unknown,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,Colombia,2015,green,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Brazil,2014,green,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Tanzania,2014,green,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Guatemala,2013,green,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,green,2,Medium Quality,"['Sweet', 'Sour', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,1,1
Arabica,Guatemala,2014,green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Guatemala,2013,green,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,United States (Hawaii),2012,green,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2012,green,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,Unknown,unknown,Unknown,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,83.42,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,United States (Hawaii),2010,unknown,Unknown,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.42,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Thailand,Unknown,unknown,Unknown,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,83.42,unknown,2,Medium Quality,"['Sweet', 'Sour', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,1,1
Arabica,Colombia,2016,unknown,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,unknown,2,Medium Quality,"['Sweet', 'Lingering', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2016,blue-green,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,blue-green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2016,green,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Brazil,2015-2016,green,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Mexico,2014,green,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2015,green,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,green,2,Medium Quality,"['Sweet', 'Sour', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,1,1
Arabica,Tanzania,2014,green,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,green,2,Medium Quality,"['Sweet', 'Lingering', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,0,0,1
Arabica,Mexico,2013,green,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Costa Rica,2014,green,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Costa Rica,2013,green,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,Haiti,2012,green,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,0,0,1
Arabica,Colombia,2013,green,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Guatemala,2013,green,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Burundi,2012,unknown,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,unknown,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2012,green,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,United States (Hawaii),Unknown,unknown,Unknown,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,7.5,83.33,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Mexico,2017,blue-green,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Costa Rica,2016,green,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Costa Rica,2015,unknown,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,83.25,unknown,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Guatemala,2016,green,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Uganda,2015,green,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Brazil,2016,green,Unknown,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,83.25,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2015-2016,green,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Lingering', 'Smooth', 'Complex', 'Medium Quality']",0,1,1,0,1,0,1,1,0,1
Arabica,Mexico,2015,blue-green,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,blue-green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Taiwan,2015,blue-green,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,blue-green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Taiwan,2014,green,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,green,2,Medium Quality,"['Sweet', 'Lingering', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2014,green,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Guatemala,2014,green,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2013,green,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,green,2,Medium Quality,"['Sweet', 'Lingering', 'Smooth', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,1,0,1
Arabica,Mexico,2013,green,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Mexico,2012,green,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Mexico,2012,blue-green,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,1,1
Arabica,Guatemala,2012,green,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,green,2,Medium Quality,"['Sweet', 'Sour', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,1,1
Arabica,Brazil,2012,blue-green,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,blue-green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2012,green,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,83.25,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Colombia,2012,green,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,83.25,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2011,unknown,Unknown,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,7.5,83.25,unknown,2,Medium Quality,"['Sweet', 'Full-bodied', 'Aromatic', 'Medium Quality']",1,0,1,0,0,0,1,0,0,1
Arabica,Colombia,2010,unknown,Unknown,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,7.5,83.25,unknown,2,Medium Quality,"['Sweet', 'Lingering', 'Smooth', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,1,0,1
Arabica,Colombia,2010,unknown,Unknown,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,7.58,83.25,unknown,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Brazil,2017-2018,green,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.17,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Guatemala,2017,green,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Tanzania,2016,green,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Peru,2017,green,Unknown,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,83.17,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Vietnam,2017,unknown,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,83.17,unknown,2,Medium Quality,"['Sweet', 'Smooth', 'Medium Quality']",0,0,0,0,0,0,1,1,0,1
Arabica,Guatemala,2016,green,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
Arabica,Honduras,2016,blue-green,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,blue-green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,China,2015,green,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,China,2015,green,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,83.17,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,El Salvador,2016,green,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,green,2,Medium Quality,"['Sweet', 'Full-bodied', 'Medium Quality']",0,0,1,0,0,0,1,0,0,1
Arabica,Guatemala,2015,green,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,green,2,Medium Quality,"['Sweet', 'Sour', 'Medium Quality']",0,0,0,0,0,0,1,0,1,1
