Species,Country.of.Origin,Harvest.Year,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
Arabica,Taiwan,2015,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58
Arabica,Nicaragua,Unknown,Unknown,Unknown,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58
Arabica,"Tanzania, United Republic Of",2012,Bluish-Green,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5
Arabica,Brazil,2011,Green,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42
Arabica,Costa Rica,2015-2016,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33
Arabica,Ethiopia,2014,Green,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25
Arabica,Kenya,2013,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25
Arabica,United States (Hawaii),2012,Unknown,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25
Arabica,United States (Hawaii),2010,Unknown,Unknown,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25
Arabica,United States,2014,Unknown,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17
Arabica,Thailand,2012,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17
Arabica,Brazil,2010,Unknown,Unknown,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17
Arabica,Brazil,2010,Unknown,Unknown,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17
Arabica,Taiwan,2015,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08
Arabica,Kenya,2014,Bluish-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08
Arabica,Uganda,2014,Unknown,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0
Arabica,Kenya,2013,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0
Arabica,Uganda,2012,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0
Arabica,United States (Hawaii),2009,Unknown,Unknown,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0
Arabica,Guatemala,2016,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92
Arabica,Uganda,2013,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92
Arabica,Colombia,2013,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92
Arabica,Panama,2017,Bluish-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83
Arabica,Ethiopia,2014,Green,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83
Arabica,Guatemala,2012,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83
Arabica,Guatemala,2012,Bluish-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83
Arabica,Ethiopia,2017,Unknown,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75
Arabica,Peru,2013,Green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75
Arabica,Papua New Guinea,2012,Bluish-Green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75
Arabica,El Salvador,2013,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58
Arabica,El Salvador,2012,Unknown,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58
Arabica,United States (Hawaii),2012,Unknown,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58
Arabica,Panama,2014,Unknown,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5
Arabica,Kenya,2014,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5
Arabica,Ethiopia,2015,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5
Arabica,Uganda,2013,Green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5
Arabica,Guatemala,2013,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5
Arabica,Ethiopia,2015,Green,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42
Arabica,Uganda,2013,Green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42
Arabica,United States (Hawaii),2012,Unknown,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42
Arabica,El Salvador,2009-2010,Unknown,Unknown,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42
Arabica,China,2015,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33
Arabica,Guatemala,2014,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33
Arabica,Costa Rica,2014,Bluish-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33
Arabica,Costa Rica,2014,Bluish-Green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33
Arabica,Kenya,2012,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33
Arabica,Kenya,2012,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33
Arabica,Guatemala,2016,Green,Unknown,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25
Arabica,Colombia,2015,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25
Arabica,Colombia,2014,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25
Arabica,Indonesia,2012,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17
Arabica,Guatemala,2012,Unknown,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17
Arabica,Ethiopia,2016,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08
Arabica,Colombia,2015,Unknown,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08
Arabica,Ethiopia,2014,Green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08
Arabica,United States (Hawaii),2014,Bluish-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08
Arabica,Colombia,2012,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08
Arabica,United States (Hawaii),2010-2011,Unknown,Unknown,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08
Arabica,Ethiopia,2010,Unknown,Unknown,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08
Arabica,United States (Hawaii),Unknown,Unknown,Unknown,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08
Arabica,Uganda,2016,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0
Arabica,Colombia,2016,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,Costa Rica,2016,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0
Arabica,Mexico,2015,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0
Arabica,Kenya,2015,Green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,Kenya,2012,Green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0
Arabica,Brazil,2012,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0
Arabica,Mexico,2010-2011,Unknown,Unknown,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0
Arabica,United States (Hawaii),Unknown,Unknown,Unknown,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0
Arabica,Guatemala,2009-2010,Unknown,Unknown,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0
Arabica,Colombia,2016,Unknown,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92
Arabica,Colombia,2015,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92
Arabica,Taiwan,2015,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92
Arabica,"Tanzania, United Republic Of",2014,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92
Arabica,Colombia,2012,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92
Arabica,Mexico,2012,Unknown,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92
Arabica,Brazil,2011,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92
Arabica,Brazil,2011,Green,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92
Arabica,Kenya,2009-2010,Unknown,Unknown,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92
Arabica,Taiwan,2016,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83
Arabica,Uganda,2013,Green,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83
Arabica,United States (Hawaii),2012,Unknown,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83
Arabica,Thailand,2015,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75
Arabica,Kenya,2014,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75
Arabica,Honduras,2014,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75
Arabica,El Salvador,2010-2011,Unknown,Unknown,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75
Arabica,Nicaragua,2009-2010,Unknown,Unknown,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75
Arabica,El Salvador,2016,Blue-Green,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67
Arabica,Indonesia,2016,Green,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67
Arabica,Japan,Unknown,Green,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67
Arabica,Costa Rica,2015,Blue-Green,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67
Arabica,Guatemala,2015,Green,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,Costa Rica,2014,Green,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67
Arabica,Ethiopia,2014,Unknown,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67
Arabica,Costa Rica,2014,Green,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67
Arabica,Costa Rica,2014,Green,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67
Arabica,Costa Rica,2012,Green,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67
Arabica,Taiwan,2013-2014,Green,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,Kenya,2012,Bluish-Green,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,Guatemala,2012,Green,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67
Arabica,Guatemala,2012,Green,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67
Arabica,Mexico,2012,Unknown,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,Uganda,2012,Blue-Green,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67
Arabica,Peru,Unknown,Unknown,Unknown,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67
Arabica,Kenya,Unknown,Blue-Green,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58
Arabica,Colombia,2016,Blue-Green,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58
Arabica,Colombia,2016,Green,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58
Arabica,Kenya,2013,Bluish-Green,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58
Arabica,Guatemala,2014,Green,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58
Arabica,Guatemala,2014,Green,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58
Arabica,Colombia,2013,Unknown,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58
Arabica,Colombia,2013,Unknown,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58
Arabica,Kenya,2013,Green,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58
Arabica,Colombia,2012,Green,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58
Arabica,Costa Rica,2012,Bluish-Green,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58
Arabica,Colombia,2012,Green,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58
Arabica,Brazil,2011,Green,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58
Arabica,Costa Rica,2017-2018,Bluish-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5
Arabica,Uganda,2016,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5
Arabica,China,2015,Green,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5
Arabica,Costa Rica,2014,Green,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5
Arabica,Colombia,2015-2016,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5
Arabica,China,2013,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5
Arabica,Guatemala,2013,Green,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5
Arabica,Kenya,2012,Blue-Green,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5
Arabica,Mexico,2012,Green,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5
Arabica,Mexico,2012,Unknown,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5
Arabica,Guatemala,2012,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5
Arabica,Brazil,Unknown,Unknown,Unknown,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5
Arabica,Brazil,Unknown,Unknown,Unknown,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5
Arabica,Costa Rica,2016,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42
Arabica,Indonesia,2017,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42
Arabica,Colombia,2015-2016,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42
Arabica,Colombia,2014,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,Taiwan,2012,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,United States (Hawaii),2012,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42
Arabica,Mexico,2012,Unknown,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42
Arabica,Ethiopia,2009-2010,Unknown,Unknown,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42
Arabica,Kenya,2017-2018,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33
Arabica,Honduras,2016,Green,Unknown,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33
Arabica,Colombia,2016,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33
Arabica,Honduras,2016,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33
Arabica,Colombia,2016,Unknown,Unknown,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.33
Arabica,Colombia,2015,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33
Arabica,Mexico,2012,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33
Arabica,Brazil,2011,Unknown,Unknown,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33
Arabica,Brazil,2011,Unknown,Unknown,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33
Arabica,Ethiopia,Unknown,Unknown,Unknown,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,84.33
Arabica,Guatemala,2009-2010,Unknown,Unknown,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,84.33
Arabica,Taiwan,2016,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25
Arabica,Thailand,2015,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25
Arabica,Colombia,2016,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25
Arabica,Guatemala,2016,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25
