Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,QualityTier,BrewingRecommendations,QualityTier,BrewingRecommendations
Arabica,Costa Rica,2015,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,Premium Grade,French Press Brewing; Aeropress Brewing,Premium Grade,French Press Brewing; Aeropress Brewing
Arabica,Kenya,2013,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Thailand,2012,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Taiwan,2015,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Kenya,2014,Blue-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Kenya,2013,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Uganda,2012,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Guatemala,2016,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Uganda,2013,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Colombia,2013,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Panama,2017,Blue-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Guatemala,2012,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Guatemala,2012,Blue-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Peru,2013,Green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Papua New Guinea,2012,Blue-Green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,El Salvador,2013,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Kenya,2014,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Ethiopia,2015,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Uganda,2013,Green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Guatemala,2013,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2015,Green,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Uganda,2013,Green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,China,2015,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Guatemala,2014,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Costa Rica,2014,Blue-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Costa Rica,2014,Blue-Green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Kenya,2012,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Kenya,2012,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Colombia,2015,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Colombia,2014,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Indonesia,2012,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Ethiopia,2016,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Ethiopia,2014,Green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,United States (Hawaii),2014,Blue-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Colombia,2012,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Uganda,2016,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Colombia,2016,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Costa Rica,2016,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Mexico,2015,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,Premium Grade,No specific recommendation,Premium Grade,No specific recommendation
Arabica,Kenya,2015,Green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Kenya,2012,Green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,Premium Grade,Pour Over Brewing,Premium Grade,Pour Over Brewing
Arabica,Brazil,2012,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Colombia,2015,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Taiwan,2015,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Tanzania,2014,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Colombia,2012,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Brazil,2011,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Brazil,2011,Green,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Taiwan,2016,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Uganda,2013,Green,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,Specialty Grade,French Press Brewing,Specialty Grade,French Press Brewing
Arabica,Thailand,2015,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Kenya,2014,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Honduras,2014,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,El Salvador,2016,Blue-Green,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Indonesia,2016,Green,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2015,Blue-Green,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Guatemala,2015,Green,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2014,Green,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,Specialty Grade,Aeropress Brewing; Cold Brew Brewing,Specialty Grade,Aeropress Brewing; Cold Brew Brewing
Arabica,Costa Rica,2014,Green,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2014,Green,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Costa Rica,2012,Green,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Taiwan,2013,Green,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Kenya,2012,Blue-Green,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2012,Green,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Guatemala,2012,Green,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Uganda,2012,Blue-Green,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2016,Blue-Green,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2016,Green,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Kenya,2013,Blue-Green,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2014,Green,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2014,Green,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Kenya,2013,Green,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,Specialty Grade,Pour Over Brewing,Specialty Grade,Pour Over Brewing
Arabica,Colombia,2012,Green,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2012,Blue-Green,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2012,Green,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Brazil,2011,Green,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Costa Rica,2017,Blue-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Uganda,2016,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,China,2015,Green,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2014,Green,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2015,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,China,2013,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2013,Green,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Kenya,2012,Blue-Green,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Mexico,2012,Green,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,Specialty Grade,Pour Over Brewing; Aeropress Brewing,Specialty Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Guatemala,2012,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Costa Rica,2016,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Indonesia,2017,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2015,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2014,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Taiwan,2012,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,United States (Hawaii),2012,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Kenya,2017,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2016,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Honduras,2016,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2015,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,Specialty Grade,French Press Brewing,Specialty Grade,French Press Brewing
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Mexico,2012,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,Specialty Grade,Aeropress Brewing,Specialty Grade,Aeropress Brewing
Arabica,Taiwan,2016,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Thailand,2015,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25,Specialty Grade,Cold Brew Brewing,Specialty Grade,Cold Brew Brewing
Arabica,Colombia,2016,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2016,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Guatemala,2015,Green,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,Specialty Grade,Pour Over Brewing,Specialty Grade,Pour Over Brewing
Arabica,China,2015,Green,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
Arabica,Colombia,2015,Green,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25,Specialty Grade,No specific recommendation,Specialty Grade,No specific recommendation
